"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","OPSData"
"TIMESTAMP","RECORD","no_use","Curr_Sec_InSet","Curr_Sec_Sample","Valid_Sample_RMLogBins","LiveBin_1dC","LiveBin_2dC","LiveBin_3dC","LiveBin_4dC","LiveBin_5dC","LiveBin_6dC","LiveBin_7dC","LiveBin_8dC","LiveBin_9dC","LiveBin_10dC","LiveBin_11dC","LiveBin_12dC","LiveBin_13dC","LiveBin_14dC","LiveBin_15dC","LiveBin_16dC","LiveGreaterBin_16dC","LiveBin_1dN","LiveBin_2dN","LiveBin_3dN","LiveBin_4dN","LiveBin_5dN","LiveBin_6dN","LiveBin_7dN","LiveBin_8dN","LiveBin_9dN","LiveBin_10dN","LiveBin_11dN","LiveBin_12dN","LiveBin_13dN","LiveBin_14dN","LiveBin_15dN","LiveBin_16dN","LiveGreaterBin_16dN","LiveBin_1dNdD","LiveBin_2dNdD","LiveBin_3dNdD","LiveBin_4dNdD","LiveBin_5dNdD","LiveBin_6dNdD","LiveBin_7dNdD","LiveBin_8dNdD","LiveBin_9dNdD","LiveBin_10dNdD","LiveBin_11dNdD","LiveBin_12dNdD","LiveBin_13dNdD","LiveBin_14dNdD","LiveBin_15dNdD","LiveBin_16dNdD","LiveGreaterBin_16dNdD","LiveBin_1dNdlogD","LiveBin_2dNdlogD","LiveBin_3dNdlogD","LiveBin_4dNdlogD","LiveBin_5dNdlogD","LiveBin_6dNdlogD","LiveBin_7dNdlogD","LiveBin_8dNdlogD","LiveBin_9dNdlogD","LiveBin_10dNdlogD","LiveBin_11dNdlogD","LiveBin_12dNdlogD","LiveBin_13dNdlogD","LiveBin_14dNdlogD","LiveBin_15dNdlogD","LiveBin_16dNdlogD","LiveGreaterBin_16dNdlogD","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","LiveGreaterBin_16dM","LiveBin_1dMdD","LiveBin_2dMdD","LiveBin_3dMdD","LiveBin_4dMdD","LiveBin_5dMdD","LiveBin_6dMdD","LiveBin_7dMdD","LiveBin_8dMdD","LiveBin_9dMdD","LiveBin_10dMdD","LiveBin_11dMdD","LiveBin_12dMdD","LiveBin_13dMdD","LiveBin_14dMdD","LiveBin_15dMdD","LiveBin_16dMdD","LiveGreaterBin_16dMdD","LiveBin_1dMdlogD","LiveBin_2dMdlogD","LiveBin_3dMdlogD","LiveBin_4dMdlogD","LiveBin_5dMdlogD","LiveBin_6dMdlogD","LiveBin_7dMdlogD","LiveBin_8dMdlogD","LiveBin_9dMdlogD","LiveBin_10dMdlogD","LiveBin_11dMdlogD","LiveBin_12dMdlogD","LiveBin_13dMdlogD"
"TS","RN","#","sec","sec","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-29 10:00:01",7142,"NAN",1651,0,1,16969,121,35,11,9,4,1,3,5,1,1,0,0,0,0,0,0,1018.14,7.26,2.1,0.66,0.54,0.24,0.06,0.18,0.3,0.06,0.06,0,0,0,0,0,0,13758.65,79.78,20,5.5,4.909,1.2,0.2,0.45,0.857,0.133,0.071,0,0,0,0,0,0,10633.28,76.759,23.75,7.954,8.406,2.477,0.527,1.545,3.69,0.696,0.475,0,0,0,0,0,0,20.649,0.284,0.154,0.087,0.118,0.093,0.049,0.324,1.044,0.374,0.8,0,0,0,0,0,0,279.041,3.12,1.466,0.727,1.069,0.464,0.162,0.809,2.984,0.83,0.949,0,0,0,0,0,0,215.655,3.002,1.741,1.051,1.83,0.957,0.426,2.779,12.846,4.334,6.337,0,0
"2019-10-29 10:00:02",7143,"NAN",1652,0,1,16982,137,38,8,3,11,8,3,5,3,4,0,1,0,0,0,0,1018.92,8.22,2.28,0.48,0.18,0.66,0.48,0.18,0.3,0.18,0.24,0,0.06,0,0,0,0,13769.19,90.33,21.714,4,1.636,3.3,1.6,0.45,0.857,0.4,0.285,0,0.059,0,0,0,0,10641.42,86.909,25.785,5.785,2.802,6.81,4.213,1.545,3.69,2.089,1.902,0,0.63,0,0,0,0,20.665,0.321,0.167,0.063,0.039,0.255,0.389,0.324,1.044,1.121,3.199,0,3.242,0,0,0,0,279.255,3.533,1.592,0.528,0.356,1.275,1.296,0.809,2.984,2.49,3.794,0,3.178,0,0,0,0,215.82,3.399,1.89,0.764,0.61,2.632,3.412,2.779,12.846,13.002,25.347,0,34.056
"2019-10-29 10:00:03",7144,"NAN",1653,0,1,16601,129,40,12,10,10,9,6,5,2,1,1,0,0,1,0,0,996.06,7.74,2.4,0.72,0.6,0.6,0.54,0.36,0.3,0.12,0.06,0.06,0,0,0.06,0,0,13460.27,85.055,22.857,6,5.455,3,1.8,0.9,0.857,0.267,0.071,0.073,0,0,0.038,0,0,10402.68,81.834,27.143,8.677,9.34,6.191,4.739,3.09,3.69,1.392,0.475,0.63,0,0,0.631,0,0,20.201,0.303,0.176,0.095,0.131,0.232,0.437,0.647,1.044,0.747,0.8,1.68,0,0,12.069,0,0,272.99,3.326,1.676,0.793,1.187,1.159,1.458,1.619,2.984,1.66,0.949,2.051,0,0,7.639,0,0,210.978,3.2,1.99,1.146,2.033,2.392,3.838,5.558,12.846,8.668,6.337,17.651,0
"2019-10-29 10:00:04",7145,"NAN",1654,0,1,14959,133,38,10,8,12,5,5,7,4,0,0,1,0,0,0,0,897.54,7.98,2.28,0.6,0.48,0.72,0.3,0.3,0.42,0.24,0,0,0.06,0,0,0,0,12128.92,87.692,21.714,5,4.364,3.6,1,0.75,1.2,0.533,0,0,0.059,0,0,0,0,9373.752,84.372,25.785,7.231,7.472,7.43,2.633,2.575,5.166,2.785,0,0,0.63,0,0,0,0,18.203,0.312,0.167,0.079,0.104,0.278,0.243,0.54,1.462,1.494,0,0,3.242,0,0,0,0,245.988,3.43,1.592,0.661,0.95,1.391,0.81,1.349,4.178,3.32,0,0,3.178,0,0,0,0,190.11,3.3,1.89,0.955,1.627,2.871,2.132,4.631,17.985,17.336,0,0,34.056
"2019-10-29 10:00:05",7146,"NAN",1655,0,1,14992,144,17,11,10,7,2,9,4,2,3,0,0,0,0,0,0,899.52,8.64,1.02,0.66,0.6,0.42,0.12,0.54,0.24,0.12,0.18,0,0,0,0,0,0,12155.68,94.945,9.714,5.5,5.455,2.1,0.4,1.35,0.686,0.267,0.214,0,0,0,0,0,0,9394.431,91.35,11.536,7.954,9.34,4.334,1.053,4.635,2.952,1.392,1.426,0,0,0,0,0,0,18.243,0.338,0.075,0.087,0.131,0.162,0.097,0.971,0.836,0.747,2.399,0,0,0,0,0,0,246.531,3.713,0.712,0.727,1.187,0.811,0.324,2.428,2.387,1.66,2.846,0,0,0,0,0,0,190.53,3.573,0.846,1.051,2.033,1.675,0.853,8.336,10.277,8.668,19.01,0,0
"2019-10-29 10:00:06",7147,"NAN",1656,0,1,14761,139,24,17,6,10,5,3,5,3,0,0,0,1,0,0,0,885.66,8.34,1.44,1.02,0.36,0.6,0.3,0.18,0.3,0.18,0,0,0,0.06,0,0,0,11968.38,91.648,13.714,8.5,3.273,3,1,0.45,0.857,0.4,0,0,0,0.047,0,0,0,9249.68,88.178,16.286,12.293,5.604,6.191,2.633,1.545,3.69,2.089,0,0,0,0.631,0,0,0,17.962,0.326,0.106,0.135,0.078,0.232,0.243,0.324,1.044,1.121,0,0,0,6.256,0,0,0,242.732,3.584,1.005,1.123,0.712,1.159,0.81,0.809,2.984,2.49,0,0,0,4.93,0,0,0,187.594,3.449,1.194,1.624,1.22,2.392,2.132,2.779,12.846,13.002,0,0,0
"2019-10-29 10:00:07",7148,"NAN",1657,0,1,14789,137,39,9,10,3,3,1,6,2,0,1,0,0,0,0,0,887.34,8.22,2.34,0.54,0.6,0.18,0.18,0.06,0.36,0.12,0,0.06,0,0,0,0,0,11991.08,90.33,22.286,4.5,5.455,0.9,0.6,0.15,1.029,0.267,0,0.073,0,0,0,0,0,9267.226,86.909,26.464,6.508,9.34,1.857,1.58,0.515,4.428,1.392,0,0.63,0,0,0,0,0,17.996,0.321,0.172,0.071,0.131,0.07,0.146,0.108,1.253,0.747,0,1.68,0,0,0,0,0,243.193,3.533,1.634,0.595,1.187,0.348,0.486,0.27,3.581,1.66,0,2.051,0,0,0,0,0,187.95,3.399,1.94,0.86,2.033,0.718,1.279,0.926,15.415,8.668,0,17.651,0
"2019-10-29 10:00:08",7149,"NAN",1658,0,1,14479,123,25,15,5,5,5,4,7,1,2,1,0,0,0,0,0,868.74,7.38,1.5,0.9,0.3,0.3,0.3,0.24,0.42,0.06,0.12,0.06,0,0,0,0,0,11739.73,81.099,14.286,7.5,2.727,1.5,1,0.6,1.2,0.133,0.142,0.073,0,0,0,0,0,9072.971,78.028,16.964,10.847,4.67,3.096,2.633,2.06,5.166,0.696,0.951,0.63,0,0,0,0,0,17.619,0.289,0.11,0.119,0.065,0.116,0.243,0.432,1.462,0.374,1.599,1.68,0,0,0,0,0,238.095,3.172,1.047,0.991,0.594,0.58,0.81,1.079,4.178,0.83,1.897,2.051,0,0,0,0,0,184.01,3.052,1.244,1.433,1.017,1.196,2.132,3.705,17.985,4.334,12.674,17.651,0
