"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","OPSData"
"TIMESTAMP","RECORD","no_use","Curr_Sec_InSet","Curr_Sec_Sample","Valid_Sample_RMLogBins","LiveBin_1dC","LiveBin_2dC","LiveBin_3dC","LiveBin_4dC","LiveBin_5dC","LiveBin_6dC","LiveBin_7dC","LiveBin_8dC","LiveBin_9dC","LiveBin_10dC","LiveBin_11dC","LiveBin_12dC","LiveBin_13dC","LiveBin_14dC","LiveBin_15dC","LiveBin_16dC","LiveGreaterBin_16dC","LiveBin_1dN","LiveBin_2dN","LiveBin_3dN","LiveBin_4dN","LiveBin_5dN","LiveBin_6dN","LiveBin_7dN","LiveBin_8dN","LiveBin_9dN","LiveBin_10dN","LiveBin_11dN","LiveBin_12dN","LiveBin_13dN","LiveBin_14dN","LiveBin_15dN","LiveBin_16dN","LiveGreaterBin_16dN","LiveBin_1dNdD","LiveBin_2dNdD","LiveBin_3dNdD","LiveBin_4dNdD","LiveBin_5dNdD","LiveBin_6dNdD","LiveBin_7dNdD","LiveBin_8dNdD","LiveBin_9dNdD","LiveBin_10dNdD","LiveBin_11dNdD","LiveBin_12dNdD","LiveBin_13dNdD","LiveBin_14dNdD","LiveBin_15dNdD","LiveBin_16dNdD","LiveGreaterBin_16dNdD","LiveBin_1dNdlogD","LiveBin_2dNdlogD","LiveBin_3dNdlogD","LiveBin_4dNdlogD","LiveBin_5dNdlogD","LiveBin_6dNdlogD","LiveBin_7dNdlogD","LiveBin_8dNdlogD","LiveBin_9dNdlogD","LiveBin_10dNdlogD","LiveBin_11dNdlogD","LiveBin_12dNdlogD","LiveBin_13dNdlogD","LiveBin_14dNdlogD","LiveBin_15dNdlogD","LiveBin_16dNdlogD","LiveGreaterBin_16dNdlogD","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","LiveGreaterBin_16dM","LiveBin_1dMdD","LiveBin_2dMdD","LiveBin_3dMdD","LiveBin_4dMdD","LiveBin_5dMdD","LiveBin_6dMdD","LiveBin_7dMdD","LiveBin_8dMdD","LiveBin_9dMdD","LiveBin_10dMdD","LiveBin_11dMdD","LiveBin_12dMdD","LiveBin_13dMdD","LiveBin_14dMdD","LiveBin_15dMdD","LiveBin_16dMdD","LiveGreaterBin_16dMdD","LiveBin_1dMdlogD","LiveBin_2dMdlogD","LiveBin_3dMdlogD","LiveBin_4dMdlogD","LiveBin_5dMdlogD","LiveBin_6dMdlogD","LiveBin_7dMdlogD","LiveBin_8dMdlogD","LiveBin_9dMdlogD","LiveBin_10dMdlogD","LiveBin_11dMdlogD","LiveBin_12dMdlogD","LiveBin_13dMdlogD"
"TS","RN","#","sec","sec","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-29 12:00:01",14340,"NAN",1591,0,1,15313,46,21,9,6,4,5,3,4,0,0,1,0,0,0,0,0,918.78,2.76,1.26,0.54,0.36,0.24,0.3,0.18,0.24,0,0,0.06,0,0,0,0,0,12415.95,30.33,12,4.5,3.273,1.2,1,0.45,0.686,0,0,0.073,0,0,0,0,0,9595.579,29.181,14.25,6.508,5.604,2.477,2.633,1.545,2.952,0,0,0.63,0,0,0,0,0,18.634,0.108,0.092,0.071,0.078,0.093,0.243,0.324,0.836,0,0,1.68,0,0,0,0,0,251.809,1.186,0.88,0.595,0.712,0.464,0.81,0.809,2.387,0,0,2.051,0,0,0,0,0,194.609,1.141,1.045,0.86,1.22,0.957,2.132,2.779,10.277,0,0,17.651,0
"2019-10-29 12:00:02",14341,"NAN",1592,0,1,15502,61,19,17,9,9,7,5,5,4,1,0,0,0,0,0,0,930.12,3.66,1.14,1.02,0.54,0.54,0.42,0.3,0.3,0.24,0.06,0,0,0,0,0,0,12569.19,40.22,10.857,8.5,4.909,2.7,1.4,0.75,0.857,0.533,0.071,0,0,0,0,0,0,9714.013,38.697,12.893,12.293,8.406,5.572,3.686,2.575,3.69,2.785,0.475,0,0,0,0,0,0,18.864,0.143,0.084,0.135,0.118,0.209,0.34,0.54,1.044,1.494,0.8,0,0,0,0,0,0,254.917,1.573,0.796,1.123,1.069,1.043,1.134,1.349,2.984,3.32,0.949,0,0,0,0,0,0,197.011,1.513,0.945,1.624,1.83,2.153,2.985,4.631,12.846,17.336,6.337,0,0
"2019-10-29 12:00:03",14342,"NAN",1593,0,1,15350,51,23,2,8,6,3,5,7,1,1,0,0,0,0,0,0,921,3.06,1.38,0.12,0.48,0.36,0.18,0.3,0.42,0.06,0.06,0,0,0,0,0,0,12445.95,33.626,13.143,1,4.364,1.8,0.6,0.75,1.2,0.133,0.071,0,0,0,0,0,0,9618.765,32.353,15.607,1.446,7.472,3.715,1.58,2.575,5.166,0.696,0.475,0,0,0,0,0,0,18.679,0.12,0.101,0.016,0.104,0.139,0.146,0.54,1.462,0.374,0.8,0,0,0,0,0,0,252.418,1.315,0.964,0.132,0.95,0.696,0.486,1.349,4.178,0.83,0.949,0,0,0,0,0,0,195.079,1.265,1.144,0.191,1.627,1.435,1.279,4.631,17.985,4.334,6.337,0,0
"2019-10-29 12:00:04",14343,"NAN",1594,0,1,15146,43,17,7,7,6,4,2,2,2,2,0,0,0,0,0,0,908.76,2.58,1.02,0.42,0.42,0.36,0.24,0.12,0.12,0.12,0.12,0,0,0,0,0,0,12280.54,28.352,9.714,3.5,3.818,1.8,0.8,0.3,0.343,0.267,0.142,0,0,0,0,0,0,9490.932,27.278,11.536,5.062,6.538,3.715,2.106,1.03,1.476,1.392,0.951,0,0,0,0,0,0,18.431,0.101,0.075,0.055,0.091,0.139,0.194,0.216,0.418,0.747,1.599,0,0,0,0,0,0,249.063,1.109,0.712,0.462,0.831,0.696,0.648,0.54,1.194,1.66,1.897,0,0,0,0,0,0,192.487,1.067,0.846,0.669,1.423,1.435,1.706,1.853,5.138,8.668,12.674,0,0
"2019-10-29 12:00:05",14344,"NAN",1595,0,1,11682,67,18,15,4,11,2,3,0,0,1,0,0,0,0,0,0,700.92,4.02,1.08,0.9,0.24,0.66,0.12,0.18,0,0,0.06,0,0,0,0,0,0,9471.893,44.176,10.286,7.5,2.182,3.3,0.4,0.45,0,0,0.071,0,0,0,0,0,0,7320.287,42.503,12.214,10.847,3.736,6.81,1.053,1.545,0,0,0.475,0,0,0,0,0,0,14.215,0.157,0.079,0.119,0.052,0.255,0.097,0.324,0,0,0.8,0,0,0,0,0,0,192.101,1.728,0.754,0.991,0.475,1.275,0.324,0.809,0,0,0.949,0,0,0,0,0,0,148.464,1.662,0.895,1.433,0.813,2.632,0.853,2.779,0,0,6.337,0,0
"2019-10-29 12:00:06",14345,"NAN",1596,0,1,9017,40,18,10,6,3,6,4,5,1,2,2,0,0,0,0,0,541.02,2.4,1.08,0.6,0.36,0.18,0.36,0.24,0.3,0.06,0.12,0.12,0,0,0,0,0,7311.081,26.374,10.286,5,3.273,0.9,1.2,0.6,0.857,0.133,0.142,0.147,0,0,0,0,0,5650.319,25.375,12.214,7.231,5.604,1.857,3.159,2.06,3.69,0.696,0.951,1.261,0,0,0,0,0,10.972,0.094,0.079,0.079,0.078,0.07,0.292,0.432,1.044,0.374,1.599,3.36,0,0,0,0,0,148.277,1.031,0.754,0.661,0.712,0.348,0.972,1.079,2.984,0.83,1.897,4.102,0,0,0,0,0,114.595,0.992,0.895,0.955,1.22,0.718,2.559,3.705,12.846,4.334,12.674,35.302,0
"2019-10-29 12:00:07",14346,"NAN",1597,0,1,9126,56,22,11,5,8,1,2,2,0,0,1,0,0,0,1,0,547.56,3.36,1.32,0.66,0.3,0.48,0.06,0.12,0.12,0,0,0.06,0,0,0,0.06,0,7399.459,36.923,12.571,5.5,2.727,2.4,0.2,0.3,0.343,0,0,0.073,0,0,0,0.03,0,5718.622,35.525,14.928,7.954,4.67,4.953,0.527,1.03,1.476,0,0,0.63,0,0,0,0.63,0,11.105,0.131,0.097,0.087,0.065,0.185,0.049,0.216,0.418,0,0,1.68,0,0,0,23.295,0,150.069,1.444,0.922,0.727,0.594,0.927,0.162,0.54,1.194,0,0,2.051,0,0,0,11.831,0,115.98,1.389,1.094,1.051,1.017,1.914,0.426,1.853,5.138,0,0,17.651,0
"2019-10-29 12:00:08",14347,"NAN",1598,0,1,9235,51,24,15,5,11,3,2,2,2,2,0,0,0,0,0,0,554.1,3.06,1.44,0.9,0.3,0.66,0.18,0.12,0.12,0.12,0.12,0,0,0,0,0,0,7487.838,33.626,13.714,7.5,2.727,3.3,0.6,0.3,0.343,0.267,0.142,0,0,0,0,0,0,5786.925,32.353,16.286,10.847,4.67,6.81,1.58,1.03,1.476,1.392,0.951,0,0,0,0,0,0,11.238,0.12,0.106,0.119,0.065,0.255,0.146,0.216,0.418,0.747,1.599,0,0,0,0,0,0,151.862,1.315,1.005,0.991,0.594,1.275,0.486,0.54,1.194,1.66,1.897,0,0,0,0,0,0,117.365,1.265,1.194,1.433,1.017,2.632,1.279,1.853,5.138,8.668,12.674,0,0
