"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","slowdata"
"TIMESTAMP","RECORD","CPC_aux_Avg","LiveBin_1dM_Avg","LiveBin_16dM_Avg","Ts_Avg","Pressure_kPa_Avg","BattV_Min","PTemp_C"
"TS","RN","p/cm3","ug/m^3","ug/m^3","degC","kPa","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2019-10-29 11:01:00",180,-84.26113,15.46803,0.7765,8.48,83.4,12.22,14.18
"2019-10-29 11:02:00",181,-114.1649,15.7562,0.7765,7.906,83.4,12.2,14.28
"2019-10-29 11:03:00",182,-158.6081,15.61227,0,8.1,83.4,12.19,14.38
"2019-10-29 11:04:00",183,-179.8103,16.07793,0,8.26,83.4,12.21,14.47
"2019-10-29 11:05:00",184,-190.2178,16.023,2.3295,7.707,83.4,12.21,14.56
"2019-10-29 11:06:00",185,-213.2372,15.87187,0.7765,7.608,83.4,12.12,14.66
"2019-10-29 11:07:00",186,-246.3344,15.86817,3.8825,7.925,83.3,12.08,14.75
"2019-10-29 11:08:00",187,-259.6604,16.43637,0,7.778,83.3,12,14.85
"2019-10-29 11:09:00",188,-160.9722,16.35677,1.553,8.04,83.3,12.18,14.94
"2019-10-29 11:10:00",189,-126.6624,15.841,0,8.39,83.3,12.24,15.04
"2019-10-29 11:11:00",190,-109.48,16.39883,0.7765,8.48,83.3,12.19,15.12
"2019-10-29 11:12:00",191,583.47,16.2801,2.3295,8.87,83.3,12.22,15.2
"2019-10-29 11:13:00",192,86.90067,16.0588,0,8.57,83.3,12.22,15.26
"2019-10-29 11:14:00",193,73.68342,16.18417,0,8.37,83.3,12.22,15.31
"2019-10-29 11:15:00",194,56.11616,16.19663,1.553,8.64,83.3,12.21,15.35
"2019-10-29 11:16:00",195,153.3143,15.56607,5.435533,8.91,83.3,12.22,15.4
"2019-10-29 11:17:00",196,427.3937,15.80267,0,8.61,83.3,12.22,15.47
"2019-10-29 11:18:00",197,433.5592,16.1191,0,9.09,83.3,12.22,15.53
"2019-10-29 11:19:00",198,183.5444,15.67303,0,8.79,83.3,12.2,15.61
"2019-10-29 11:20:00",199,132.7162,15.63173,0.7765,8.44,83.3,12.18,15.69
"2019-10-29 11:21:00",200,2867.333,"NAN","NAN",8.28,83.3,12.2,15.77
"2019-10-29 11:22:00",201,3013.424,16.57323,0,8.55,83.3,12.24,15.86
"2019-10-29 11:23:00",202,551.6746,16.23627,0,8.7,83.3,12.23,15.94
"2019-10-29 11:24:00",203,540.3282,15.94923,0.7765,9.11,83.3,12.18,16.02
"2019-10-29 11:25:00",204,772.547,15.76647,0.7765,8.85,83.3,12.15,16.1
"2019-10-29 11:26:00",205,712.6846,15.59237,0.7765,8.65,83.3,12.2,16.17
"2019-10-29 11:27:00",206,719.1252,15.46167,0,8.92,83.3,12.18,16.25
"2019-10-29 11:28:00",207,784.6533,15.80463,0.7765,8.87,83.3,12.17,16.33
"2019-10-29 11:29:00",208,516.5289,15.05673,0,8.95,83.3,12.16,16.42
"2019-10-29 11:30:00",209,875.8387,14.6692,0,8.98,83.3,12.18,16.52
"2019-10-29 11:31:00",210,251.7662,14.57723,0,9.06,83.3,12.14,16.62
"2019-10-29 11:32:00",211,464.6488,14.30583,0,8.37,83.3,12.12,16.74
"2019-10-29 11:33:00",212,1341.247,13.1758,0,8.59,83.3,12.15,16.85
"2019-10-29 11:34:00",213,38.16055,13.01123,0,8.85,83.4,12.16,16.97
"2019-10-29 11:35:00",214,2019.647,14.5546,0.7765,9.02,83.3,12.12,17.09
"2019-10-29 11:36:00",215,1116.565,14.77183,1.553,8.95,83.3,12.12,17.21
"2019-10-29 11:37:00",216,813.0862,14.68183,0,9.28,83.3,12.14,17.33
"2019-10-29 11:38:00",217,331.4346,14.66923,0.7765,9.45,83.3,12.13,17.43
"2019-10-29 11:39:00",218,454.2254,14.43827,0,9.76,83.3,12.16,17.54
"2019-10-29 11:40:00",219,-30.83614,14.39137,15.53017,9.7,83.3,12.12,17.64
"2019-10-29 11:41:00",220,1424.51,14.72887,2.3295,9.88,83.3,12.13,17.73
"2019-10-29 11:42:00",221,66.9027,14.39397,0,10.31,83.3,12.09,17.82
"2019-10-29 11:43:00",222,750.9041,14.58427,1.553,9.81,83.3,12.13,17.9
"2019-10-29 11:44:00",223,6.275884,15.21087,0.7765,9.71,83.3,12.14,17.98
"2019-10-29 11:45:00",224,8053.755,15.60167,3.106,10.37,83.3,12.05,18.05
"2019-10-29 11:46:00",225,"NAN",15.71903,0.7765,9.91,"NAN","NAN",17.9
"2019-10-29 11:47:00",226,11569.09,13.797,0,9.37,85.3,11.98,18.04
"2019-10-29 11:48:00",227,4895.023,14.098,0,9.32,84,12.14,18.13
"2019-10-29 11:49:00",228,"NAN",14.11293,0,10.09,"NAN","NAN",18.22
"2019-10-29 11:50:00",229,13312.43,14.0344,0.7765,9.65,87.3,12.17,18.32
"2019-10-29 11:51:00",230,"NAN",14.6926,3.882533,10.5,84.7,12.16,18.39
"2019-10-29 11:52:00",231,6809.095,15.02743,0.7765,9.76,83.8,12.14,18.47
"2019-10-29 11:53:00",232,69.94518,14.64437,0,10,83.5,12.13,18.55
"2019-10-29 11:54:00",233,3060.67,14.4448,0.7765,10.04,83.4,12.12,18.62
"2019-10-29 11:55:00",234,2963.015,14.85013,1.553033,9.67,83.3,12.09,18.69
"2019-10-29 11:56:00",235,645.1663,15.25197,0.7765,10.01,83.3,12.13,18.75
"2019-10-29 11:57:00",236,1240.36,14.8885,1.553,10.3,83.3,12.12,18.82
"2019-10-29 11:58:00",237,4831.873,14.66113,2.3295,10.37,83.3,12.12,18.88
"2019-10-29 11:59:00",238,6297.345,13.4389,0,10.29,83.3,12.11,18.9
"2019-10-29 12:00:00",239,10528.37,12.84803,0.7765,9.85,83.3,12.11,18.93
