"TOA5","CR3000_IP","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","OPSData"
"TIMESTAMP","RECORD","no_use","Curr_Sec_InSet","Curr_Sec_Sample","Valid_Sample_RMLogBins","LiveBin_1dC","LiveBin_2dC","LiveBin_3dC","LiveBin_4dC","LiveBin_5dC","LiveBin_6dC","LiveBin_7dC","LiveBin_8dC","LiveBin_9dC","LiveBin_10dC","LiveBin_11dC","LiveBin_12dC","LiveBin_13dC","LiveBin_14dC","LiveBin_15dC","LiveBin_16dC","LiveGreaterBin_16dC","LiveBin_1dN","LiveBin_2dN","LiveBin_3dN","LiveBin_4dN","LiveBin_5dN","LiveBin_6dN","LiveBin_7dN","LiveBin_8dN","LiveBin_9dN","LiveBin_10dN","LiveBin_11dN","LiveBin_12dN","LiveBin_13dN","LiveBin_14dN","LiveBin_15dN","LiveBin_16dN","LiveGreaterBin_16dN","LiveBin_1dNdD","LiveBin_2dNdD","LiveBin_3dNdD","LiveBin_4dNdD","LiveBin_5dNdD","LiveBin_6dNdD","LiveBin_7dNdD","LiveBin_8dNdD","LiveBin_9dNdD","LiveBin_10dNdD","LiveBin_11dNdD","LiveBin_12dNdD","LiveBin_13dNdD","LiveBin_14dNdD","LiveBin_15dNdD","LiveBin_16dNdD","LiveGreaterBin_16dNdD","LiveBin_1dNdlogD","LiveBin_2dNdlogD","LiveBin_3dNdlogD","LiveBin_4dNdlogD","LiveBin_5dNdlogD","LiveBin_6dNdlogD","LiveBin_7dNdlogD","LiveBin_8dNdlogD","LiveBin_9dNdlogD","LiveBin_10dNdlogD","LiveBin_11dNdlogD","LiveBin_12dNdlogD","LiveBin_13dNdlogD","LiveBin_14dNdlogD","LiveBin_15dNdlogD","LiveBin_16dNdlogD","LiveGreaterBin_16dNdlogD","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","LiveGreaterBin_16dM","LiveBin_1dMdD","LiveBin_2dMdD","LiveBin_3dMdD","LiveBin_4dMdD","LiveBin_5dMdD","LiveBin_6dMdD","LiveBin_7dMdD","LiveBin_8dMdD","LiveBin_9dMdD","LiveBin_10dMdD","LiveBin_11dMdD","LiveBin_12dMdD","LiveBin_13dMdD","LiveBin_14dMdD","LiveBin_15dMdD","LiveBin_16dMdD","LiveGreaterBin_16dMdD","LiveBin_1dMdlogD","LiveBin_2dMdlogD","LiveBin_3dMdlogD","LiveBin_4dMdlogD","LiveBin_5dMdlogD","LiveBin_6dMdlogD","LiveBin_7dMdlogD","LiveBin_8dMdlogD","LiveBin_9dMdlogD","LiveBin_10dMdlogD","LiveBin_11dMdlogD","LiveBin_12dMdlogD","LiveBin_13dMdlogD"
"2019-10-29 09:39:36",5917,"NAN",426,0,1,832,182,42,19,6,8,2,1,12,4,2,0,0,0,0,0,0,49.92,10.92,2.52,1.14,0.36,0.48,0.12,0.06,0.72,0.24,0.12,0,0,0,0,0,0,674.595,120,24,9.5,3.273,2.4,0.4,0.15,2.057,0.533,0.142,0,0,0,0,0,0,521.356,115.456,28.5,13.739,5.604,4.953,1.053,0.515,8.856,2.785,0.951,0,0,0,0,0,0,1.012,0.427,0.185,0.151,0.078,0.185,0.097,0.108,2.507,1.494,1.599,0,0,0,0,0,0,13.682,4.693,1.759,1.255,0.712,0.927,0.324,0.27,7.162,3.32,1.897,0,0,0,0,0,0,10.574,4.515,2.089,1.815,1.22,1.914,0.853,0.926,30.831,17.336,12.674,0,0
"2019-10-29 09:39:37",5918,"NAN",427,0,1,860,186,39,9,9,7,3,5,5,5,1,0,0,0,0,0,0,51.6,11.16,2.34,0.54,0.54,0.42,0.18,0.3,0.3,0.3,0.06,0,0,0,0,0,0,697.297,122.637,22.286,4.5,4.909,2.1,0.6,0.75,0.857,0.667,0.071,0,0,0,0,0,0,538.901,117.994,26.464,6.508,8.406,4.334,1.58,2.575,3.69,3.481,0.475,0,0,0,0,0,0,1.047,0.436,0.172,0.071,0.118,0.162,0.146,0.54,1.044,1.868,0.8,0,0,0,0,0,0,14.142,4.796,1.634,0.595,1.069,0.811,0.486,1.349,2.984,4.15,0.949,0,0,0,0,0,0,10.93,4.615,1.94,0.86,1.83,1.675,1.279,4.631,12.846,21.67,6.337,0,0
"2019-10-29 09:39:38",5919,"NAN",428,0,1,887,188,47,17,7,8,5,6,7,2,1,1,0,0,0,0,0,53.22,11.28,2.82,1.02,0.42,0.48,0.3,0.36,0.42,0.12,0.06,0.06,0,0,0,0,0,719.189,123.956,26.857,8.5,3.818,2.4,1,0.9,1.2,0.267,0.071,0.073,0,0,0,0,0,555.82,119.262,31.893,12.293,6.538,4.953,2.633,3.09,5.166,1.392,0.475,0.63,0,0,0,0,0,1.079,0.441,0.207,0.135,0.091,0.185,0.243,0.647,1.462,0.747,0.8,1.68,0,0,0,0,0,14.586,4.848,1.969,1.123,0.831,0.927,0.81,1.619,4.178,1.66,0.949,2.051,0,0,0,0,0,11.273,4.664,2.338,1.624,1.423,1.914,2.132,5.558,17.985,8.668,6.337,17.651,0
"2019-10-29 09:39:39",5920,"NAN",429,0,1,843,173,46,13,11,6,5,7,4,4,0,1,0,1,1,0,0,50.58,10.38,2.76,0.78,0.66,0.36,0.3,0.42,0.24,0.24,0,0.06,0,0.06,0.06,0,0,683.514,114.066,26.286,6.5,6,1.8,1,1.05,0.686,0.533,0,0.073,0,0.047,0.038,0,0,528.249,109.747,31.214,9.401,10.274,3.715,2.633,3.605,2.952,2.785,0,0.63,0,0.631,0.631,0,0,1.026,0.406,0.202,0.103,0.144,0.139,0.243,0.755,0.836,1.494,0,1.68,0,6.256,12.069,0,0,13.862,4.461,1.927,0.859,1.306,0.696,0.81,1.888,2.387,3.32,0,2.051,0,4.93,7.639,0,0,10.713,4.292,2.288,1.242,2.236,1.435,2.132,6.484,10.277,17.336,0,17.651,0
"2019-10-29 09:39:40",5921,"NAN",430,0,1,904,191,54,15,8,7,3,8,4,2,2,0,1,0,0,0,0,54.24,11.46,3.24,0.9,0.48,0.42,0.18,0.48,0.24,0.12,0.12,0,0.06,0,0,0,0,732.973,125.934,30.857,7.5,4.364,2.1,0.6,1.2,0.686,0.267,0.142,0,0.059,0,0,0,0,566.473,121.166,36.643,10.847,7.472,4.334,1.58,4.12,2.952,1.392,0.951,0,0.63,0,0,0,0,1.1,0.448,0.238,0.119,0.104,0.162,0.146,0.863,0.836,0.747,1.599,0,3.242,0,0,0,0,14.866,4.925,2.262,0.991,0.95,0.811,0.486,2.158,2.387,1.66,1.897,0,3.178,0,0,0,0,11.489,4.739,2.686,1.433,1.627,1.675,1.279,7.41,10.277,8.668,12.674,0,34.056
"2019-10-30 12:29:28",17374,"NAN",250,0,1,1924,570,120,15,5,5,2,1,1,1,0,0,1,0,0,0,0,115.44,34.2,7.2,0.9,0.3,0.3,0.12,0.06,0.06,0.06,0,0,0.06,0,0,0,0,1560,375.824,68.571,7.5,2.727,1.5,0.4,0.15,0.171,0.133,0,0,0.059,0,0,0,0,1205.635,361.594,81.428,10.847,4.67,3.096,1.053,0.515,0.738,0.696,0,0,0.63,0,0,0,0,2.341,1.338,0.528,0.119,0.065,0.116,0.097,0.108,0.209,0.374,0,0,3.242,0,0,0,0,31.639,14.698,5.027,0.991,0.594,0.58,0.324,0.27,0.597,0.83,0,0,3.178,0,0,0,0,24.452,14.141,5.97,1.433,1.017,1.196,0.853,0.926,2.569,4.334,0,0,34.056
"2019-10-30 12:29:29",17375,"NAN",251,0,1,1863,570,118,24,5,8,1,2,0,1,1,1,1,0,0,0,0,111.78,34.2,7.08,1.44,0.3,0.48,0.06,0.12,0,0.06,0.06,0.06,0.06,0,0,0,0,1510.541,375.824,67.429,12,2.727,2.4,0.2,0.3,0,0.133,0.071,0.073,0.059,0,0,0,0,1167.411,361.594,80.071,17.355,4.67,4.953,0.527,1.03,0,0.696,0.475,0.63,0.63,0,0,0,0,2.267,1.338,0.519,0.19,0.065,0.185,0.049,0.216,0,0.374,0.8,1.68,3.242,0,0,0,0,30.635,14.698,4.943,1.585,0.594,0.927,0.162,0.54,0,0.83,0.949,2.051,3.178,0,0,0,0,23.676,14.141,5.87,2.293,1.017,1.914,0.426,1.853,0,4.334,6.337,17.651,34.056
"2019-10-30 12:29:30",17376,"NAN",252,0,1,1901,623,109,16,6,5,3,4,2,1,0,0,0,0,0,0,0,114.06,37.38,6.54,0.96,0.36,0.3,0.18,0.24,0.12,0.06,0,0,0,0,0,0,0,1541.351,410.769,62.286,8,3.273,1.5,0.6,0.6,0.343,0.133,0,0,0,0,0,0,0,1191.223,395.215,73.964,11.57,5.604,3.096,1.58,2.06,1.476,0.696,0,0,0,0,0,0,0,2.313,1.462,0.479,0.127,0.078,0.116,0.146,0.432,0.418,0.374,0,0,0,0,0,0,0,31.26,16.065,4.566,1.057,0.712,0.58,0.486,1.079,1.194,0.83,0,0,0,0,0,0,0,24.159,15.456,5.422,1.529,1.22,1.196,1.279,3.705,5.138,4.334,0,0,0
"2019-10-30 12:29:31",17377,"NAN",253,0,1,1936,597,102,17,5,9,0,2,2,2,0,0,0,0,0,0,0,116.16,35.82,6.12,1.02,0.3,0.54,0,0.12,0.12,0.12,0,0,0,0,0,0,0,1569.73,393.626,58.286,8.5,2.727,2.7,0,0.3,0.343,0.267,0,0,0,0,0,0,0,1213.155,378.722,69.214,12.293,4.67,5.572,0,1.03,1.476,1.392,0,0,0,0,0,0,0,2.356,1.401,0.449,0.135,0.065,0.209,0,0.216,0.418,0.747,0,0,0,0,0,0,0,31.836,15.394,4.273,1.123,0.594,1.043,0,0.54,1.194,1.66,0,0,0,0,0,0,0,24.604,14.811,5.074,1.624,1.017,2.153,0,1.853,5.138,8.668,0,0,0
"2019-10-30 12:29:32",17378,"NAN",254,0,1,1943,566,118,20,7,0,1,2,0,2,1,0,0,0,0,0,0,116.58,33.96,7.08,1.2,0.42,0,0.06,0.12,0,0.12,0.06,0,0,0,0,0,0,1575.405,373.187,67.429,10,3.818,0,0.2,0.3,0,0.267,0.071,0,0,0,0,0,0,1217.541,359.056,80.071,14.462,6.538,0,0.527,1.03,0,1.392,0.475,0,0,0,0,0,0,2.364,1.328,0.519,0.159,0.091,0,0.049,0.216,0,0.747,0.8,0,0,0,0,0,0,31.951,14.595,4.943,1.321,0.831,0,0.162,0.54,0,1.66,0.949,0,0,0,0,0,0,24.693,14.042,5.87,1.911,1.423,0,0.426,1.853,0,8.668,6.337,0,0
