"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","OPSData"
"TIMESTAMP","RECORD","no_use","Curr_Sec_InSet","Curr_Sec_Sample","Valid_Sample_RMLogBins","LiveBin_1dC","LiveBin_2dC","LiveBin_3dC","LiveBin_4dC","LiveBin_5dC","LiveBin_6dC","LiveBin_7dC","LiveBin_8dC","LiveBin_9dC","LiveBin_10dC","LiveBin_11dC","LiveBin_12dC","LiveBin_13dC","LiveBin_14dC","LiveBin_15dC","LiveBin_16dC","LiveGreaterBin_16dC","LiveBin_1dN","LiveBin_2dN","LiveBin_3dN","LiveBin_4dN","LiveBin_5dN","LiveBin_6dN","LiveBin_7dN","LiveBin_8dN","LiveBin_9dN","LiveBin_10dN","LiveBin_11dN","LiveBin_12dN","LiveBin_13dN","LiveBin_14dN","LiveBin_15dN","LiveBin_16dN","LiveGreaterBin_16dN","LiveBin_1dNdD","LiveBin_2dNdD","LiveBin_3dNdD","LiveBin_4dNdD","LiveBin_5dNdD","LiveBin_6dNdD","LiveBin_7dNdD","LiveBin_8dNdD","LiveBin_9dNdD","LiveBin_10dNdD","LiveBin_11dNdD","LiveBin_12dNdD","LiveBin_13dNdD","LiveBin_14dNdD","LiveBin_15dNdD","LiveBin_16dNdD","LiveGreaterBin_16dNdD","LiveBin_1dNdlogD","LiveBin_2dNdlogD","LiveBin_3dNdlogD","LiveBin_4dNdlogD","LiveBin_5dNdlogD","LiveBin_6dNdlogD","LiveBin_7dNdlogD","LiveBin_8dNdlogD","LiveBin_9dNdlogD","LiveBin_10dNdlogD","LiveBin_11dNdlogD","LiveBin_12dNdlogD","LiveBin_13dNdlogD","LiveBin_14dNdlogD","LiveBin_15dNdlogD","LiveBin_16dNdlogD","LiveGreaterBin_16dNdlogD","LiveBin_1dM","LiveBin_2dM","LiveBin_3dM","LiveBin_4dM","LiveBin_5dM","LiveBin_6dM","LiveBin_7dM","LiveBin_8dM","LiveBin_9dM","LiveBin_10dM","LiveBin_11dM","LiveBin_12dM","LiveBin_13dM","LiveBin_14dM","LiveBin_15dM","LiveBin_16dM","LiveGreaterBin_16dM","LiveBin_1dMdD","LiveBin_2dMdD","LiveBin_3dMdD","LiveBin_4dMdD","LiveBin_5dMdD","LiveBin_6dMdD","LiveBin_7dMdD","LiveBin_8dMdD","LiveBin_9dMdD","LiveBin_10dMdD","LiveBin_11dMdD","LiveBin_12dMdD","LiveBin_13dMdD","LiveBin_14dMdD","LiveBin_15dMdD","LiveBin_16dMdD","LiveGreaterBin_16dMdD","LiveBin_1dMdlogD","LiveBin_2dMdlogD","LiveBin_3dMdlogD","LiveBin_4dMdlogD","LiveBin_5dMdlogD","LiveBin_6dMdlogD","LiveBin_7dMdlogD","LiveBin_8dMdlogD","LiveBin_9dMdlogD","LiveBin_10dMdlogD","LiveBin_11dMdlogD","LiveBin_12dMdlogD","LiveBin_13dMdlogD"
"TS","RN","#","sec","sec","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","#/cm^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3","ug/m^3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2019-10-30 13:36:34",17799,"NAN",676,0,1,23017,637,115,26,4,4,4,0,0,1,1,0,0,0,0,0,0,1381.02,38.22,6.9,1.56,0.24,0.24,0.24,0,0,0.06,0.06,0,0,0,0,0,0,18662.43,420,65.714,13,2.182,1.2,0.8,0,0,0.133,0.071,0,0,0,0,0,0,14423.13,404.097,78.035,18.801,3.736,2.477,2.106,0,0,0.696,0.475,0,0,0,0,0,0,28.009,1.495,0.506,0.206,0.052,0.093,0.194,0,0,0.374,0.8,0,0,0,0,0,0,378.495,16.426,4.818,1.717,0.475,0.464,0.648,0,0,0.83,0.949,0,0,0,0,0,0,292.517,15.804,5.721,2.484,0.813,0.957,1.706,0,0,4.334,6.337,0,0
"2019-10-30 13:36:35",17800,"NAN",677,0,1,23062,684,112,22,4,2,2,2,2,2,0,0,1,0,0,0,0,1383.72,41.04,6.72,1.32,0.24,0.12,0.12,0.12,0.12,0.12,0,0,0.06,0,0,0,0,18698.92,450.989,64,11,2.182,0.6,0.4,0.3,0.343,0.267,0,0,0.059,0,0,0,0,14451.33,433.912,75.999,15.909,3.736,1.238,1.053,1.03,1.476,1.392,0,0,0.63,0,0,0,0,28.063,1.605,0.493,0.174,0.052,0.046,0.097,0.216,0.418,0.747,0,0,3.242,0,0,0,0,379.235,17.638,4.692,1.453,0.475,0.232,0.324,0.54,1.194,1.66,0,0,3.178,0,0,0,0,293.089,16.97,5.572,2.102,0.813,0.478,0.853,1.853,5.138,8.668,0,0,34.056
"2019-10-30 13:36:36",17801,"NAN",678,0,1,23732,662,121,15,5,2,0,0,3,1,0,0,0,0,0,0,0,1423.92,39.72,7.26,0.9,0.3,0.12,0,0,0.18,0.06,0,0,0,0,0,0,0,19242.16,436.484,69.143,7.5,2.727,0.6,0,0,0.514,0.133,0,0,0,0,0,0,0,14871.17,419.956,82.106,10.847,4.67,1.238,0,0,2.214,0.696,0,0,0,0,0,0,0,28.879,1.553,0.532,0.119,0.065,0.046,0,0,0.627,0.374,0,0,0,0,0,0,0,390.253,17.07,5.069,0.991,0.594,0.232,0,0,1.79,0.83,0,0,0,0,0,0,0,301.604,16.424,6.019,1.433,1.017,0.478,0,0,7.708,4.334,0,0,0
"2019-10-30 13:36:37",17802,"NAN",679,0,1,23054,603,109,21,1,1,0,1,3,2,0,0,0,0,1,0,0,1383.24,36.18,6.54,1.26,0.06,0.06,0,0.06,0.18,0.12,0,0,0,0,0.06,0,0,18692.43,397.582,62.286,10.5,0.545,0.3,0,0.15,0.514,0.267,0,0,0,0,0.038,0,0,14446.32,382.528,73.964,15.185,0.934,0.619,0,0.515,2.214,1.392,0,0,0,0,0.631,0,0,28.054,1.415,0.479,0.166,0.013,0.023,0,0.108,0.627,0.747,0,0,0,0,12.069,0,0,379.104,15.549,4.566,1.387,0.119,0.116,0,0.27,1.79,1.66,0,0,0,0,7.639,0,0,292.988,14.96,5.422,2.006,0.203,0.239,0,0.926,7.708,8.668,0,0,0
"2019-10-30 13:36:38",17803,"NAN",680,0,1,23026,649,118,19,8,4,5,0,4,0,2,1,0,0,0,0,0,1381.56,38.94,7.08,1.14,0.48,0.24,0.3,0,0.24,0,0.12,0.06,0,0,0,0,0,18669.73,427.912,67.429,9.5,4.364,1.2,1,0,0.686,0,0.142,0.073,0,0,0,0,0,14428.77,411.709,80.071,13.739,7.472,2.477,2.633,0,2.952,0,0.951,0.63,0,0,0,0,0,28.02,1.523,0.519,0.151,0.104,0.093,0.243,0,0.836,0,1.599,1.68,0,0,0,0,0,378.643,16.735,4.943,1.255,0.95,0.464,0.81,0,2.387,0,1.897,2.051,0,0,0,0,0,292.632,16.101,5.87,1.815,1.627,0.957,2.132,0,10.277,0,12.674,17.651,0
"2019-10-30 13:36:39",17804,"NAN",681,0,1,28959,716,110,19,7,8,2,1,2,0,1,0,0,0,0,0,0,1737.54,42.96,6.6,1.14,0.42,0.48,0.12,0.06,0.12,0,0.06,0,0,0,0,0,0,23480.27,472.088,62.857,9.5,3.818,2.4,0.4,0.15,0.343,0,0.071,0,0,0,0,0,0,18146.57,454.212,74.642,13.739,6.538,4.953,1.053,0.515,1.476,0,0.475,0,0,0,0,0,0,35.239,1.68,0.484,0.151,0.091,0.185,0.097,0.108,0.418,0,0.8,0,0,0,0,0,0,476.206,18.463,4.608,1.255,0.831,0.927,0.324,0.27,1.194,0,0.949,0,0,0,0,0,0,368.033,17.764,5.472,1.815,1.423,1.914,0.853,0.926,5.138,0,6.337,0,0
"2019-10-30 13:36:40",17805,"NAN",682,0,1,29226,726,133,19,7,5,3,0,0,1,0,0,0,0,0,0,0,1753.56,43.56,7.98,1.14,0.42,0.3,0.18,0,0,0.06,0,0,0,0,0,0,0,23696.76,478.681,76,9.5,3.818,1.5,0.6,0,0,0.133,0,0,0,0,0,0,0,18313.88,460.556,90.249,13.739,6.538,3.096,1.58,0,0,0.696,0,0,0,0,0,0,0,35.564,1.704,0.585,0.151,0.091,0.116,0.146,0,0,0.374,0,0,0,0,0,0,0,480.597,18.721,5.572,1.255,0.831,0.58,0.486,0,0,0.83,0,0,0,0,0,0,0,371.426,18.012,6.616,1.815,1.423,1.196,1.279,0,0,4.334,0,0,0
"2019-10-30 13:36:41",17806,"NAN",683,0,1,28579,677,113,23,10,6,2,0,0,0,1,0,0,1,0,0,0,1714.74,40.62,6.78,1.38,0.6,0.36,0.12,0,0,0,0.06,0,0,0.06,0,0,0,23172.16,446.374,64.571,11.5,5.455,1.8,0.4,0,0,0,0.071,0,0,0.047,0,0,0,17908.45,429.472,76.678,16.632,9.34,3.715,1.053,0,0,0,0.475,0,0,0.631,0,0,0,34.777,1.589,0.497,0.182,0.131,0.139,0.097,0,0,0,0.8,0,0,6.256,0,0,0,469.958,17.457,4.734,1.519,1.187,0.696,0.324,0,0,0,0.949,0,0,4.93,0,0,0,363.204,16.796,5.621,2.197,2.033,1.435,0.853,0,0,0,6.337,0,0
