"TOA5","8552","CR3000","8552","CR3000.Std.26","CPU:2019-10-22_Mobile-PM_Gill-RS232_T-RH_LI75.CR3","47685","slowdata"
"TIMESTAMP","RECORD","CPC_aux_Avg","LiveBin_1dM_Avg","LiveBin_16dM_Avg","Ts_Avg","Pressure_kPa_Avg","BattV_Min","PTemp_C"
"TS","RN","p/cm3","ug/m^3","ug/m^3","degC","kPa","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Min","Smp"
"2019-10-29 10:01:00",120,8673.402,15.1838,0,6.021,83.4,12.24,13.37
"2019-10-29 10:02:00",121,8662.37,15.37553,0,6.182,83.4,12.26,13.47
"2019-10-29 10:03:00",122,8579.526,14.84417,0,6.497,83.4,12.25,13.56
"2019-10-29 10:04:00",123,8670.564,14.90123,0,6.764,83.4,12.24,13.65
"2019-10-29 10:05:00",124,8725.462,15.27967,0,5.878,83.4,12.26,13.72
"2019-10-29 10:06:00",125,9310.457,15.09853,2.329533,6.352,83.4,12.27,13.78
"2019-10-29 10:07:00",126,8803.384,15.24493,0.7765,6.522,83.4,12.25,13.82
"2019-10-29 10:08:00",127,5312.129,13.49967,2.3295,6.386,83.4,12,13.85
"2019-10-29 10:09:00",128,8237.045,14.374,0,6.664,83.4,12.24,13.86
"2019-10-29 10:10:00",129,8439.15,15.75563,0,6.061,83.4,12.24,13.87
"2019-10-29 10:11:00",130,7928.04,15.162,0,6.201,83.4,12.22,13.87
"2019-10-29 10:12:00",131,8265.146,15.4674,0,6.172,83.4,12.23,13.86
"2019-10-29 10:13:00",132,8074.548,15.71433,1.553,6.111,83.4,12.25,13.84
"2019-10-29 10:14:00",133,8872.819,16.0736,0,6.326,83.4,12.22,13.82
"2019-10-29 10:15:00",134,8998.182,16.44217,0,6.18,83.4,12.27,13.8
"2019-10-29 10:16:00",135,10946.38,16.3421,0,6.933,83.4,12.24,13.77
"2019-10-29 10:17:00",136,10146.59,15.125,0,6.49,83.4,12.24,13.74
"2019-10-29 10:18:00",137,12665.5,14.71153,0,6.694,83.4,12.26,13.71
"2019-10-29 10:19:00",138,14934.83,14.9784,1.553,6.586,83.4,12.26,13.67
"2019-10-29 10:20:00",139,15106.88,14.76327,0,6.816,83.4,12.26,13.64
"2019-10-29 10:21:00",140,12149.81,14.66883,0,6.563,83.4,12.26,13.61
"2019-10-29 10:22:00",141,10327.1,15.13707,0,6.581,83.4,12.25,13.58
"2019-10-29 10:23:00",142,10051.84,14.31197,0,6.569,83.4,12.29,13.55
"2019-10-29 10:24:00",143,9756.481,15.0293,1.553,6.624,83.4,12.11,13.52
"2019-10-29 10:25:00",144,10078.06,15.23587,0,6.863,83.4,11.95,13.49
"2019-10-29 10:26:00",145,12115.93,14.85833,0,6.962,83.4,12.12,13.46
"2019-10-29 10:27:00",146,12650.87,15.294,0.7765,7.01,83.4,12.24,13.44
"2019-10-29 10:28:00",147,11766.97,15.89307,0.7765,7.148,83.4,12.26,13.42
"2019-10-29 10:29:00",148,10838.57,15.2911,0,6.994,83.4,12.27,13.4
"2019-10-29 10:30:00",149,11298.16,15.6313,0,7.204,83.4,12.26,13.38
"2019-10-29 10:31:00",150,11122.49,16.15647,0,7.001,83.4,12.25,13.36
"2019-10-29 10:32:00",151,10993.37,15.35513,0.7765,6.929,83.4,12.26,13.36
"2019-10-29 10:33:00",152,"NAN",18.2957,0,7.125,"NAN","NAN",19.96
"2019-10-29 10:34:00",153,"NAN",17.32026,0.7765,7.177,"NAN","NAN",19.78
"2019-10-29 10:35:00",154,"NAN",14.8784,0,7.21,"NAN","NAN",12.87
"2019-10-29 10:36:00",155,-413.2849,4.456033,0.7765,7.016,88.4,11.87,12.9
"2019-10-29 10:37:00",156,-364.6865,15.74747,0,7.08,85,12.09,13
"2019-10-29 10:38:00",157,-346.3428,11.7859,1.553,7.667,83.9,12.16,13.14
"2019-10-29 10:39:00",158,-363.7759,13.22983,0,7.261,83.6,12.18,13.18
"2019-10-29 10:40:00",159,-341.4418,13.885,0,7.606,83.4,12.16,13.22
"2019-10-29 10:41:00",160,-276.6483,13.76437,0.7765,7.125,83.4,12.22,13.27
"2019-10-29 10:42:00",161,-282.552,12.8812,0.7765,7.307,83.4,12.18,13.29
"2019-10-29 10:43:00",162,-328.816,12.99333,0.7765,7.692,83.4,12.2,13.29
"2019-10-29 10:44:00",163,-356.9625,13.27437,2.3295,7.668,83.4,12.19,13.32
"2019-10-29 10:45:00",164,-331.5797,13.71703,0.7765,7.357,83.4,12.21,13.33
"2019-10-29 10:46:00",165,-340.7245,14.20383,0.7765,7.663,83.4,12.18,13.34
"2019-10-29 10:47:00",166,-335.1649,14.21763,0.7765,7.268,83.4,12.2,13.36
"2019-10-29 10:48:00",167,-306.5843,14.96793,0,7.528,83.4,12.17,13.37
"2019-10-29 10:49:00",168,-291.8261,15.86097,0.7765,7.397,83.4,12.17,13.39
"2019-10-29 10:50:00",169,-324.4297,15.98573,0.7765,7.345,83.4,12.22,13.41
"2019-10-29 10:51:00",170,-346.0195,16.023,0,7.348,83.4,12.21,13.44
"2019-10-29 10:52:00",171,-336.9873,15.9331,0,7.558,83.4,12.24,13.47
"2019-10-29 10:53:00",172,-356.2623,14.84097,0.7765,7.816,83.4,12.21,13.52
"2019-10-29 10:54:00",173,"NAN",13.74647,0,8.12,"NAN","NAN",13.57
"2019-10-29 10:55:00",174,"NAN",14.3085,0,7.647,"NAN","NAN",13.63
"2019-10-29 10:56:00",175,-326.579,14.682,0,8.46,85.5,12.22,13.7
"2019-10-29 10:57:00",176,-195.2867,14.37287,0.7765,8.37,84.1,12.22,13.77
"2019-10-29 10:58:00",177,176.5072,14.78773,0,8.03,83.6,12.21,13.86
"2019-10-29 10:59:00",178,1153.493,14.9901,1.553,8.16,83.4,12.2,13.96
"2019-10-29 11:00:00",179,165.3826,15.62107,0.7765,8.07,83.4,12.2,14.07
